Course_ID,Course_Name,Credit
SMT1005,Marxist Leninist Philosophy,3
SMT1006,Political Economics of Marxism – Leninism,2
SMT1007,Scientific Socialism,2
SMT1008,History of Vietnamese Communist Party,2
SMT1004,Ho Chi Minh’s Ideology,2
LAW1001,General Law,2
TOU1001,Business Communication,3
MIS1002,Applied Information Technology for Management,3
MGT1001,Microeconomics,3
ECO1001,Macroeconomics,3
MGT1002,Management,3
ENGELE1,English Elementary 1,3
ENGELE2,English Elementary 2,4
ENG2015,English Communication 1,3
ENG2016,English Communication 2,3
ENG2017,English Composition B1,2
ACC1002,Introduction to Accounting,3
MKT2001,Principles of Marketing,3
MIS2002,Management Information Systems,3
STA2002,Statistics for Business and Economics,3
FIN2001,Financial Markets and Institutions,3
MGT2002,Introduction to Business,3
IBS2001,International Business,3
LAW2001,Business Law,3
MIS3001,Basic Programming,3
MIS2001,Database,3
MIS3002,Computer Networks and Data Communications,3
MIS3045,Object Oriented Programming,3
MIS3007,Information Systems Analysis and Design,3
MIS3006,Data Structures and Algorithms,3
MIS3008,Database Management System,3
MIS3005,Discrete Mathematics,3
MIS3004,IT Project Management,3
MIS3021,Software Testing,3
MIS3048,Web Design,3
MIS3010,Web Programming,3
MIS3023,Mobile Application Programming,3
MIS2012,Career Internship,3
MIS3030,Information System Analysis and Design - Practice,2
RMD3001,Scientific Research Methodology,2
MIS3047,Business process management,3
MIS3011,Enterprise Resource Planning,3
MIS3034,Enterprise Resource Planning - Practice,2
MIS3041,Python for Data Analysis,3
ELC3006,Machine Learning,3
ELC3009,Web Data Mining,3
ELC3008,Artificial Intelligence for Business,3
MIS3009,Data Warehousing and Data Mining,3
MIS3012,Network Administrator,3
MIS3046,Software design templates,2
MIS3032,Application Programming - Practice,2
MIS3003,Safety and Security of Information Systems,3
MIS2010,Awareness Internship,2
MGT3003,Operation Management,3
HRM3001,Human Resource Management,3
COM3003,Customer Relationship Management,3
ACC2002,Management Accounting,3
MGT3020,Digital Transformation,3
ELC3007,Data Visualization,3
MIS3051,Introduction to Artificial Intelligence,3
MIS3052,Applied Mathematics in AI,3
ELC3005,Introduction to Big Data,3
MIS3053,Natural Language Processing,3
MIS3054,Deep Learning for Business Applications,3
MIS3055,Artificial Intelligence Ethics and Social Responsibility,2
MIS3056,Recommendation Systems,3
MIS3043,Big Data Analytics Tools,3
MIS4001,Graduation Internship Report,4
MIS4002,Graduation Thesis,10
MIS4099,Graduation Project,10
HRM2001,Organizational Behavior,3
TOU3008,Strategy in Tourism,3
TOU3047,Supervision in the Hospitality Industry,3
TOU3002,Service Operation Management,3
TOU3009,Hospitality Financial Management,3
TOU3001,Introduction to Tourism,3
MGT3011,Entrepreneurship,3
IBS3007,Cross-cultural Management,3
