Course_ID,Course_Name,Credit
LAW3061,Bidding Law,2
LAW3062,Intellectual Property Law in International Trade,2
LAW3063,Law on International Trade in Goods and Services,2
LAW3064,Contracts in International Trade,2
LAW3065,Dispute Settlement in International Trade,2
LAW3066,Customs in International Trade,2
LAW3067,Transportation Law in international trade,2
LAW3068,US trade policy and law,2
LAW3069,China trade policy and law,2
LAW3070,Law on the European Union market,2
LAW3071,Customs law,2
LAW3072,International finance law,2
FIN3015,Multinational corporate finance,3
FIN3016,International financial investment,3
FIN3017,Sustainable finance,3
FIN3018,International trade finance,3
FIN3019,Foreign exchange trading,3
BAN3023,International banking services,3
LAW3072,International financial law,2
FIN3020,International financial markets,3
BAN3022,International taxation,3
IBS3013 ,Business Negotiation,3
IBS3008 ,International Business Simulation,3
IBS3016 ,International Finance Management,3
