STT,Major_Code,Major_Name
1,7340405,Management Information System
4,7810201,Hospitality Management
5,7810103,Tourism and Travel Management
7,7340301,Accounting
8,7340302,Auditing
9,7340120,International Business
10,7310101,Economics
14,7380101,Law
15,7380107,Economics Law
16,7310205,State Management
18,7340115,Marketing
21,7340201,Finance - Banking
24,7340101,Business Administration
28,7340404,Human Resource Management
29,7340205,Fintech
30,7310107,Statistics for Economics
31,7340420,Data Science
32,7340121,Commerce
33,7340122,E-commerce
