STT,Spec_Code,Spec_Name,Rel,Major_Code,Major_Name,
1,734040501,Management Information Technology,Belong,7340405,Management Information System,734040501
2,734040502,Information Systems Management,Belong,7340405,Management Information System,734040502
3,734040503,Artificial Intelligence for Business,Belong,7340405,Management Information System,734040503
4,781020101,Hospitality Management,Belong,7810201,Hospitality Management,781020101
5,781010301,Tourism Business Management,Belong,7810103,Tourism and Travel Management,781010301
6,781010302,Event Management,Belong,7810103,Tourism and Travel Management,781010302
7,734030101,Accounting,Belong,7340301,Accounting,734030101
8,734030201,Auditing,Belong,7340302,Auditing,734030201
9,734012001,Foreign Trade,Belong,7340120,International Business,734012001
10,731010101,Development Economics,Belong,7310101,Economics,731010101
11,731010103,Economics and Public Management,Belong,7310101,Economics,731010103
12,731010104,Investment Economics,Belong,7310101,Economics,731010104
13,731010105,International Economics,Belong,7310101,Economics,731010105
14,738010101,Legal Study,Belong,7380101,Law,738010101
15,738010701,Business Law,Belong,7380107,Economics Law,738010701
16,731020501,Political Economy,Belong,7310205,State Management,731020501
17,731020502,Public Administration,Belong,7310205,State Management,731020502
18,734011501,Marketing Management,Belong,7340115,Marketing,734011501
19,734011502,Marketing Communication,Belong,7340115,Marketing,734011502
20,734011503,Digital Marketing,Belong,7340115,Marketing,734011503
21,734020101,Banking,Belong,7340201,Finance - Banking,734020101
22,734020102,Corporate Finance,Belong,7340201,Finance - Banking,734020102
23,734020103,Public Finance,Belong,7340201,Finance - Banking,734020103
24,734010101,General Business Administration,Belong,7340101,Business Administration,734010101
25,734010102,Financial Management,Belong,7340101,Business Administration,734010102
26,734010103,Supply Chain and Logistics Management,Belong,7340101,Business Administration,734010103
27,734010104,Digital Business,Belong,7340101,Business Administration,734010104
28,734040401,Human Resource Management,Belong,7340404,Human Resource Management,734040401
29,734020501,Fintech,Belong,7340205,Fintech,734020501
30,731010701,Statistics For Economic And Society,Belong,7310107,Statistics for Economics,731010701
31,734042001,Data Science & Business Analytics,Belong,7340420,Data Science,734042001
32,734012101,Commercial Business Administration,Belong,7340121,Commerce,734012101
33,734012201,E-commerce,Belong,7340122,E-commerce,734012201
