Course_ID,Spec_Code,Type
SMT1005,738010702,Require
SMT1006,738010702,Require
SMT1007,738010702,Require
SMT1008,738010702,Require
SMT1004,738010702,Require
SMT3010,738010702,Require
TOU1001,738010702,Require
MIS1003,738010702,Require
MGT1001,738010702,Require
ECO1001,738010702,Require
MGT1002,738010702,Require
ENGELE1,738010702,Require
ENGELE2,738010702,Require
ENG2015,738010702,Require
ENG2016,738010702,Require
ENG2017,738010702,Require
LAW2009,738010702,Require
LAW1002,738010702,Require
LAW2002,738010702,Require
ENG3004,738010702,Require
LAW2006,738010702,Require
LAW2007,738010702,Require
LAW2004,738010702,Require
LAW2003,738010702,Require
LAW3003,738010702,Require
LAW2008,738010702,Require
LAW2005,738010702,Require
LAW3040,738010702,Require
LAW3053,738010702,Require
LAW3058,738010702,Require
LAW3008,738010702,Require
LAW3009,738010702,
LAW3007,738010702,Require
LAW3011,738010702,Require
LAW3043,738010702,Require
LAW3002,738010702,Require
LAW3036,738010702,Elective
LAW3037,738010702,Elective
LAW3015,738010702,Elective
LAW3027,738010702,Elective
LAW3048,738010702,Elective
RMD3001,738010702,Elective
LAW3049,738010702,Elective
LAW3042,738010702,Elective
LAW3061,738010702,Elective
LAW3095,738010702,Require
LAW3035,738010702,Require
LAW3013,738010702,Require
LAW3012,738010702,Require
LAW3010,738010702,Require
LAW3062,738010702,Require
LAW3063,738010702,Require
LAW3064,738010702,Require
LAW3065,738010702,Require
LAW3066,738010702,Elective
LAW3023,738010702,Elective
LAW3067,738010702,Elective
LAW3041,738010702,Elective
LAW3050,738010702,Elective
LAW3068,738010702,Elective
LAW3069,738010702,Elective
LAW3070,738010702,Elective
LAW3071,738010702,Elective
LAW3072,738010702,Elective
LAW4001,738010702,Elective
LAW4002,738010702,Elective
SMT1005,734020104,Require
SMT1006,734020104,Require
SMT1007,734020104,Require
SMT1008,734020104,Require
SMT1004,734020104,Require
LAW1001,734020104,Require
TOU1001,734020104,Require
MIS1003,734020104,Require
MAT1001,734020104,Require
MGT1001,734020104,Require
ECO1001,734020104,Require
MGT1002,734020104,Require
ENGELE1,734020104,Require
ENGELE2,734020104,Require
ENG2015,734020104,Require
ENG2016,734020104,Require
ENG2017,734020104,Require
HRM2001,734020104,Require
MIS2002,734020104,Require
IBS2001,734020104,Require
LAW2001,734020104,Require
MKT2001,734020104,Require
ACC1002,734020104,Require
MGT2002,734020104,Require
FIN2001,734020104,Require
STA2002,734020104,Require
ENG3001,734020104,Require
FIN3002,734020104,Require
BAN3001,734020104,Require
BAN2001,734020104,Require
FIN3004,734020104,Require
BAN3002,734020104,Require
HOS3001,734020104,Elective
MGT3021,734020104,Elective
BAN3015,734020104,Elective
FIN3010,734020104,Elective
BAN3017,734020104,Elective
FIN3001,734020104,Require
FIN3015,734020104,Require
FIN3016,734020104,Require
FIN3017,734020104,Require
FIN3018,734020104,Require
FIN3019,734020104,Require
BAN3023,734020104,Require
RMD3001,734020104,Elective
LAW3072,734020104,Elective
IBS3011,734020104,Elective
IBS2003,734020104,Elective
FIN3011,734020104,Elective
MGT3020,734020104,Elective
FIN3020,734020104,Elective
BAN3022,734020104,Elective
FIN3003,734020104,Elective
FIN3009,734020104,Elective
FIN4001,734020104,Elective
FIN4002,734020104,Elective
SMT1005,734012002,Require
SMT1006,734012002,Require
SMT1007,734012002,Require
SMT1008,734012002,Require
SMT1004,734012002,Require
LAW1001,734012002,Require
TOU1001,734012002,Require
MGT1001,734012002,Require
ECO1001,734012002,Require
MGT1002,734012002,Require
MIS1003,734012002,Require
MAT1001,734012002,Require
ENGELE1,734012002,Require
ENGELE2,734012002,Require
ENG2015,734012002,Require
ENG2016,734012002,Require
ENG2017,734012002,Require
HRM2001,734012002,Require
MIS2002,734012002,Require
IBS2001,734012002,Require
LAW2001,734012002,Require
MKT2001,734012002,Require
ACC1002,734012002,Require
MGT2002,734012002,Require
FIN2001,734012002,Require
STA2002,734012002,Require
ENG3001,734012002,Require
IBS2003,734012002,Require
IBS2002,734012002,Require
IBS3007,734012002,Require
IBS3005,734012002,Require
FIN3004,734012002,Require
IBS3003,734012002,Elective
ACC2002,734012002,Elective
IBS3010,734012002,Elective
RMD3001,734012002,Elective
IBS3001,734012002,Elective
IBS3017,734012002,Require
IBS3018,734012002,Require
IBS3019,734012002,Require
IBS3020,734012002,Require
IBS3021,734012002,Require
IBS3004,734012002,Require
IBS3006,734012002,Require
TOU3002,734012002,Elective
ELC3001,734012002,Elective
MKT3024,734012002,Elective
MGT3002,734012002,Elective
ELC3013,734012002,Elective
IBS3013 ,734012002,Elective
IBS3008 ,734012002,Elective
IBS3009,734012002,Elective
IBS3015,734012002,Elective
IBS3002,734012002,Elective
IBS3011,734012002,Elective
IBS3016 ,734012002,Elective
IBS4001,734012002,Elective
ECO4002,734012002,Elective
